---+--------------+----------------+--------------+-----------
    64   |    7217      |                |              |
    63   |    7082      |      ..        |     1        |
    62   |    6957      |       1        |     2        |    2
    61   |    6839      |       2        |     4        |    4
    60   |    6728      |       3·5      |     7        |    8
    59   |    6621      |       7·5      |     12·5     |   15·5
    58   |    6520      |      12·5      |     21       |   24
    57   |    6423      |      19        |     33       |   37·5
    56   |    6330      |      27·5      |     50       |   60
    55   |    6242      |      35        |     65       |   77
    54   |    6152      |      43        |     80       |   90
    53   |    6074      |      52·5      |     90       |   97
    52   |    5996      |      61·0      |     96       |  100
    51   |    5919      |      71·0      |     99       |  100
    50   |    5850      |      79·0      |    100       |   98
    49   |    5783      |      84        |     99       |   95
    48   |    5720      |      85        |     97       |   90
    47   |    5658      |      83·5      |     92·5     |   85
    46   |    5596      |      81·0      |     87       |   79
    45   |    5538      |      77·0      |     81       |   72·5
    44   |    5481      |      72.5      |     75       |   66
    43   |    5427      |      68·0      |     69       |   59
    42   |    5373      |      62·5      |     62·5     |   51
    41   |    5321      |      57        |     57       |   45
    40   |    5270      |      52        |     50       |   40
    39   |    5221      |      46        |     42·5     |   32
    38   |    5172      |      41·5      |     36       |   27·5
    37   |    5128      |      37·5      |     29·5     |   22·0
    36   |    5085      |      33·5      |     24       |   18
    35   |    5043      |      30·0      |     18·2     |   14
    34   |    5002      |      26·5      |     14·2     |   10
    33   |    4963      |      24        |     10·5     |    8·4
    32   |    4924      |      21        |      8·5     |    6·5
    31   |    4885      |      18·5      |      7·0     |    5·5
    30   |    4848      |      16·5      |      5·5     |    4·0
    29   |    4812      |      14·5      |      4·7     |    3·5
    28   |    4776      |      13·0      |      4·0     |    3·0
    27   |    4742      |      11·5      |      3·5     |    2·0
    26   |    4707      |      10·5      |      2·8     |    2·4
    25   |    4675      |      9·4       |      2·3     |    2·1
    24   |    4639      |      8·2       |      1·82    |    1·9
    23   |    4608      |      7·3       |      1·6     |    1·5
    22   |    4578      |      6·3       |      1·4     |
    21   |    4548      |      5·7       |      1·2     |
    20   |    4517      |      5·0       |      1·08    |    1·0
    19   |    4488      |      4·5       |       ·
